,ZAI,Reaction MT,Extrapolation Size [d],Previous Steps,Extrapolation Scheme,Absolute Relative Error [%],Axial Node,ZAI Reaction,Step size $[d]$
765,641550,102,5.0,3,constant,1.575173014193787,5,"Gd155 $(n, \gamma )$",5
766,641550,102,5.0,3,linear,0.12948514502337805,5,"Gd155 $(n, \gamma )$",5
767,641550,102,5.0,3,quadratic,0.058543815569023216,5,"Gd155 $(n, \gamma )$",5
776,541350,102,5.0,1,constant,1.0220878726205918,6,"Xe135 $(n, \gamma )$",5
777,541350,102,5.0,1,linear,0.0011971746677774675,6,"Xe135 $(n, \gamma )$",5
778,641550,102,5.0,1,constant,0.9404144933815362,6,"Gd155 $(n, \gamma )$",5
779,641550,102,5.0,1,linear,0.012220389163841716,6,"Gd155 $(n, \gamma )$",5
792,541350,102,5.0,2,constant,1.3996967157508422,6,"Xe135 $(n, \gamma )$",5
793,541350,102,5.0,2,linear,0.07342671295743619,6,"Xe135 $(n, \gamma )$",5
794,541350,102,5.0,2,quadratic,0.11313300610544808,6,"Xe135 $(n, \gamma )$",5
795,641550,102,5.0,2,constant,1.2879549549048797,6,"Gd155 $(n, \gamma )$",5
796,641550,102,5.0,2,linear,0.06406446440443414,6,"Gd155 $(n, \gamma )$",5
797,641550,102,5.0,2,quadratic,0.12664766951615558,6,"Gd155 $(n, \gamma )$",5
810,541350,102,5.0,3,constant,1.7767568538249678,6,"Xe135 $(n, \gamma )$",5
811,541350,102,5.0,3,linear,0.09098527475165374,6,"Xe135 $(n, \gamma )$",5
812,541350,102,5.0,3,quadratic,0.000448940500474837,6,"Xe135 $(n, \gamma )$",5
813,641550,102,5.0,3,constant,1.632116293667063,6,"Gd155 $(n, \gamma )$",5
814,641550,102,5.0,3,linear,0.07637743227404403,6,"Gd155 $(n, \gamma )$",5
815,641550,102,5.0,3,quadratic,0.002083020880117026,6,"Gd155 $(n, \gamma )$",5
824,541350,102,5.0,1,constant,1.0588986009776091,7,"Xe135 $(n, \gamma )$",5
825,541350,102,5.0,1,linear,0.08789038984805542,7,"Xe135 $(n, \gamma )$",5
826,641550,102,5.0,1,constant,0.963624368206828,7,"Gd155 $(n, \gamma )$",5
827,641550,102,5.0,1,linear,0.08722100460708537,7,"Gd155 $(n, \gamma )$",5
840,541350,102,5.0,2,constant,1.4359443601660082,7,"Xe135 $(n, \gamma )$",5
841,541350,102,5.0,2,linear,0.07745591434099586,7,"Xe135 $(n, \gamma )$",5
842,541350,102,5.0,2,quadratic,0.1035421031088668,7,"Xe135 $(n, \gamma )$",5
843,641550,102,5.0,2,constant,1.3111106141253215,7,"Gd155 $(n, \gamma )$",5
844,641550,102,5.0,2,linear,0.08162991456814872,7,"Gd155 $(n, \gamma )$",5
845,641550,102,5.0,2,quadratic,0.09560763966554031,7,"Gd155 $(n, \gamma )$",5
858,541350,102,5.0,3,constant,1.8315514459775084,7,"Xe135 $(n, \gamma )$",5
859,541350,102,5.0,3,linear,0.11196994871058852,7,"Xe135 $(n, \gamma )$",5
860,541350,102,5.0,3,quadratic,0.032206409978585704,7,"Xe135 $(n, \gamma )$",5
861,641550,102,5.0,3,constant,1.6750905756585999,7,"Gd155 $(n, \gamma )$",5
862,641550,102,5.0,3,linear,0.1132195732880592,7,"Gd155 $(n, \gamma )$",5
863,641550,102,5.0,3,quadratic,0.037739857762797424,7,"Gd155 $(n, \gamma )$",5
872,541350,102,5.0,1,constant,1.0240539906526624,8,"Xe135 $(n, \gamma )$",5
873,541350,102,5.0,1,linear,0.0018045004240407891,8,"Xe135 $(n, \gamma )$",5
874,641550,102,5.0,1,constant,0.9426149240367998,8,"Gd155 $(n, \gamma )$",5
875,641550,102,5.0,1,linear,2.220446049250313e-14,8,"Gd155 $(n, \gamma )$",5
